,Wind onshore,Wind offshore,Solar,Biomass,Waste,Hydro,Battery,PHS,DSM load shifting,DSM load shedding,Import,Natural gas,hydrogen,coal/oil
Gas 2045,19.927281210554874,21.161325731942142,18.694456886744074,0.0,0.0,0.9071477560885892,0.0011150927490913517,2.139578037409066,0.0,0.0,0.7838756069387597,0.004109483495098167,5.793820502641251,0.0
Smart-71 2045,19.927233944789645,21.161552637734953,18.7282425454105,0.0,0.0,0.9071425712790864,0.001181352033544186,2.1395678033427883,0.00020471387614153587,0.0,0.8807597433844112,0.0034116812248988237,3.3058601499871263,0.0
Smart-40 2045,19.263028487146588,20.471012144126675,16.589420237987973,0.0,0.0,0.9071412906059608,0.000755461892403291,2.139567808648925,0.00019578387988114176,0.0,1.1048816335807603,0.0,1.8489184786289932,0.0
Smart-20 2045,19.263007544568172,20.468777048531923,17.714466494152393,0.0,0.0,0.9071439425582858,0.0007610512155680257,2.1395679387533844,0.00020362883902984207,0.0,0.7463284511788674,0.0,0.9257859924955496,0.0
